Character,Move Name,Alt Names,Guard,Properties,Damage,Meter,On Hit,On Block,Startup,Active,Recovery,Hitstun,Blockstun,Hitstop,On Pushblock,Footer,Thumbnail URL,Footer URL
BIG BAND,2HK,"MACRO_2HK
SWEEP
TRIP",Low,Sweep,1200,10%,Soft KD (Invuln.),-16,19,6,28,14,17,10,-7,,https://wiki.gbl.gg/images/6/61/SG_big_chk_hb.png,https://wiki.gbl.gg/images/6/65/SG_big_chk_fd.png
BIG BAND,JLP,MACRO_JLP,High,Whiff Cancel,400,2.50%,-5,-3,10,2,26,22,18,8,6,- Big Band can whiff cancel this move into j.MP then j.HP or just into j.HP.,https://wiki.gbl.gg/images/4/4b/SG_big_jlp_hb.png,https://wiki.gbl.gg/images/7/70/SG_big_jlp_fd.png
BIG BAND,JMP,MACRO_JMP,High,Whiff Cancel,650,7.50%,-3,-1,12,2,26,24,20,10,6,- Big Band can whiff cancel this move into j.HP.,https://wiki.gbl.gg/images/d/dd/SG_big_jmp_hb.png,https://wiki.gbl.gg/images/a/a0/SG_big_jmp_fd.png
BIG BAND,JHP,MACRO_JHP,High,-,1000,10%,-3,-6,16,2,30,26,22,12,6,,https://wiki.gbl.gg/images/d/d6/SG_big_jhp_hb.png,https://wiki.gbl.gg/images/e/e1/SG_big_jhp_fd.png
BIG BAND,JLK,MACRO_JLK,High (rising mid),-,200 x3,0.9% x3,3,3,7,"18 (3, 3, 3...)",11,22 x3,18 x3,6 x3,6/12,- This attack does not hit overhead if Big Band is rising.,https://wiki.gbl.gg/images/1/14/SG_big_jlk_hb.png,https://wiki.gbl.gg/images/4/45/SG_big_jlk_fd.png
BIG BAND,JMK,"MACRO_JMK
CLARINET
SWEET CLARINET",High,Chains Into Self,400,7.50%,4,±0,11,4,18,28 OR 25 (vs air),20,9,6,"- See ""JMK x2""
- DOES hit high even when rising, for one of the fastest instant overheads in the game.",https://wiki.gbl.gg/images/6/65/SG_big_jmk_hb.png,https://wiki.gbl.gg/images/6/67/SG_big_jmk1_fd.png
BIG BAND,JMK X2,"J.MK X2
J MK X2
J MK 2ND
J.MK 2ND
MK 2ND
MK X2
MK 2
MK2",Mid,-,"220x3, 240",1.8% x4,5,±0,16,5 x4,16,25 x4,20 x4,"3, 3, 3, 7",-9/6,"- He can't use this if he's already used a double jump.
- Each use of j.MK x2 in a combo will cause Big Band to fall increasingly faster.",https://wiki.gbl.gg/images/6/65/SG_big_jmk_hb.png,https://wiki.gbl.gg/images/7/72/SG_big_jmk2_fd.png
BIG BAND,JHK,"DROPKICK
DROP KICK
MACRO_JHK",High,No Cancel *,1200,10%,Wall Bounce,-,16,(until ground),"16, KD OR 19 **",37,18,14,-19,"- Big Band goes into ground recovery when landing during this move. This allows him to tech foward to gain ground while invincible, which is useful for getting in on zoners. 
- An added 3 frames of recovery on landing is applied if he doesn't ground tech.",https://wiki.gbl.gg/images/8/8e/SG_big_jhk_hb.png,https://wiki.gbl.gg/images/0/0b/SG_big_jhk_tech_fd.png
BIG BAND,THROW,MACRO_THROW,Throw,50% Damage Scaling,"0, 150 x8","5%, 1% x8",27,-,7,1,28,-,-,-,-,- Very long range for a normal throw.,https://wiki.gbl.gg/images/7/7b/SG_big_throw_hb.png,https://wiki.gbl.gg/images/8/88/SG_big_throw_fd.png
BIG BAND,AIR THROW,MACRO_AIR_THROW,Air Throw,50% Damage Scaling,"0, 350, 1000","5%, 2%, 6%",KD,-,7,3,18,-,-,-,-,,https://wiki.gbl.gg/images/d/d1/SG_big_airthrow_hb.png,https://wiki.gbl.gg/images/b/b9/SG_big_airthrow_fd.png
BIG BAND,TAG IN,MACRO_TAG,Mid,"Armor (1 hit),
 Tag",500,4.50%,KD,-18,29 to 49,7,41,26,29,15,-21,,https://wiki.gbl.gg/images/0/00/SG_big_bfp_hb.png,https://wiki.gbl.gg/images/1/12/SG_big_tag_fd.png
BIG BAND,SNAPBACK,MACRO_SNAPBACK,Mid,Snapback,0,-100%,-,-22,12 + 3,3,37,14,17,"(9), 13",-13,,https://wiki.gbl.gg/images/6/6d/SG_big_snap_hb.png,https://wiki.gbl.gg/images/4/43/SG_big_snap_fd.png
BIG BAND,L BEAT EXTEND,"L BEAT
LBEAT
L EXTEND
EXTEND L
BEAT L
MACRO_623LP
L BE
LBE
L DP
DP L",Mid,"Invuln. (Strike) (Frame 2),
 Sound Stun","350, 350, 150 x9 (100, 100, 50 x9)","(2.5) 5.5%, 3%, 1.5% x9",KD,-24,8,"1, (6), 1 [(2), 1, (2), 1...]",34,"18 x2, (16 x9 Shake)","18, 13, (19 x9 Shake)","2, 60, 35 x9 OR 2, 33, 12 x9 (4, 9, 35 x9 on block)",-18/-11,"- On hit, Big Band can ""shake"" using → and ←, or LP and HP. Shakes add extra hits that lift the opponent slightly higher.
- Consumes SOUND STUN on hit for extra hitstop. If used without SOUND STUN available, the opponent will fall invincibily and end the combo.
- As an assist, this move has an extra 1F of aditional vulnerability before performing its attack. (5F total)
- As an assist, it has 5F less blockstun.",https://wiki.gbl.gg/images/9/9c/SG_big_dpp_hb.png,https://wiki.gbl.gg/images/f/f4/SG_big_dplp_fd.png
BIG BAND,M BEAT EXTEND,"M BEAT
MBEAT
M EXTEND
EXTEND M
BEAT M
MACRO_623MP
M BE
MBE
M DP
DP M",Mid,"Invuln. (Strike),
 Sound Stun","350, 550, 150 x12 (100, 100, 50 x12)","(2.5%) 7%, 4.5%, 1.5% x12",KD,-29,10,"3, (3), 3 [(4), 1, (2), 1...]",39,"18 x2, (16 x12 Shake)","21, 15, (19 x12 Shake)","4, 60, 35 x12 OR 4, 33, 12 x12 (8, 9, 35 x12 on block)",-24/-18,"- On hit, Big Band can ""shake"" using → and ←, or LP and HP. Shakes add extra hits that lift the opponent slightly higher.
- Consumes SOUND STUN on hit for extra hitstop. If used without SOUND STUN available, the opponent will fall invincibily and end the combo.
- As an assist, this move has an extra 2F of aditional vulnerability before performing its attack. (5F total)
- As an assist, it has 7F less blockstun.",https://wiki.gbl.gg/images/9/9c/SG_big_dpp_hb.png,https://wiki.gbl.gg/images/a/af/SG_big_dpmp_fd.png
BIG BAND,H BEAT EXTEND,"H BEAT
HBEAT
BEAT
H EXTEND
EXTEND H
BEAT H
MACRO_623HP
MACRO_623P
H BE
BE
EXTEND
BEAT EXTEND
HBE
DP
H DP
DP H",Mid,"Invuln. (Full),
 Sound Stun","350 x2, 550, 150 x14 (100, 100, 100, 50 x14)","(2.5%) 7%, 4.5% x2, 1.5% x9",KD,-27,12,"3, (6), 3, (3), 3 [(4), 1, (2), 1...]",36,"18 x3, (16 x14 Shake)","18 x2, 15 (19 x14 Shake)","4, 2, 60, 35 x14 OR 4, 2, 33, 12 x14 (4, 4, 8, 35 x14 on block)",-29/-16,"- On hit, Big Band can ""shake"" using → and ←, or LP and HP. Shakes add extra hits that lift the opponent slightly higher.
- Consumes SOUND STUN on hit for extra hitstop. If used without SOUND STUN available, the opponent will fall invincibily and end the combo.
- As an assist, it has 7F less blockstun.",https://wiki.gbl.gg/images/9/9c/SG_big_dpp_hb.png,https://wiki.gbl.gg/images/2/2b/SG_big_dphp_fd.png
BIG BAND,L BRASS KNUCKLES,"MACRO_46LP
L BRASS
BRASS L
LBRASS
L BRASS KNUCKLE",Mid,-,900 (100),(2.5%) 4.5%,+5 OR KD (vs air),-6,16,3,28,35 OR 21 (vs air),24,11,-4,,https://wiki.gbl.gg/images/0/00/SG_big_bfp_hb.png,https://wiki.gbl.gg/images/5/58/SG_big_bflp_fd.png
BIG BAND,M BRASS KNUCKLES,"MACRO_46MP
M BRASS
BRASS M
MBRASS
M BRASS KNUCKLE",Mid,Armor (2 hits),1300 (175),(2.5%) 4.5%,KD,-16,20,5,36,21,24,14 (12 on block),-14,,https://wiki.gbl.gg/images/0/00/SG_big_bfp_hb.png,https://wiki.gbl.gg/images/3/37/SG_big_bfmp_fd.png
BIG BAND,H BRASS KNUCKLES,"MACRO_46HP
MACRO_46P
H BRASS
BRASS H
BRASS
HBRASS
BRASS KNUCKLES
H BRASS KNUCKLE
BRASS KNUCKLE",Mid,Armor (2 hits),1750 (250),(2.5%) 4.5%,Sliding KD,-25,24,7,48,25,29,17 (14 on block,-27,,https://wiki.gbl.gg/images/0/00/SG_big_bfp_hb.png,https://wiki.gbl.gg/images/d/d7/SG_big_bfhp_fd.png
BIG BAND,L A TRAIN,"MACRO_46LK
L TRAIN
TRAIN L
L ATRAIN
L A-TRAIN
A-TRAIN L
ATRAIN L
L-TRAIN
LTRAIN",Command Grab,50% Damage Scaling,"0, 350, 1000","(2.5%) 4%, 3%, 10%",Sliding KD,-,18,1,33,-,-,-,-,- True command grab that Big Band can combo after only in the corner.,https://wiki.gbl.gg/images/5/53/SG_big_bfk_hb.png,https://wiki.gbl.gg/images/4/4d/SG_big_bflk_fd.png
BIG BAND,M A TRAIN,"MACRO_46MK
M TRAIN
TRAIN M
M ATRAIN
M A-TRAIN
A-TRAIN M
ATRAIN M
M-TRAIN
MTRAIN",Anti-Air Grab,"Armor (2 hits),
 50% Damage Scaling","0, 350, 450, 1000 (100)","(2.5%) 3%, 14% x2",Sliding KD,-14,17,2,34,-,21,11,-9,- The opponent cannot block this move if they are rising upwards.,https://wiki.gbl.gg/images/5/53/SG_big_bfk_hb.png,https://wiki.gbl.gg/images/9/9d/SG_big_bfmk_fd.png
BIG BAND,H A TRAIN,"MACRO_46HK
MACRO_46K
H TRAIN
TRAIN H
H ATRAIN
ATRAIN H
H A-TRAIN
A-TRAIN H
ATRAIN
A TRAIN
H-TRAIN
HTRAIN
TRAIN",Anti-Air Grab,"Armor (3 hits),
 50% Damage Scaling","0, 350, 450, 500, 1000 (100)","(2.5%) 4%, 3% x3, 10%",Sliding KD,-14,21,2,34,-,21,11,-9,- The opponent cannot block this move if they are rising upwards.,https://wiki.gbl.gg/images/5/53/SG_big_bfk_hb.png,https://wiki.gbl.gg/images/b/bc/SG_big_bfhk_fd.png
BIG BAND,EMERGENCY BREAK,"E BREAK
E. BREAK
E.BREAK
EBRAKE
E-BRAKE
E-BREAK
BREAK
E BRAKE
E. BRAKE
E.BRAKE
EBREAK
BRAKE
[4]6P~K
46P~K
[4],6P~K
4,6P~K
[4]6+P~K
46+P~K
[4],6+P~K
4,6+P~K
[4]6P,K
46P,K
[4],6P,K
4,6P,K
[4]6+P,K
46+P,K
[4],6+P,K
4,6+P,K
[B]FP~K
BFP~K
[B],FP~K
B,FP~K
[B]F+P~K
BF+P~K
[B],F+P~K
B,F+P~K
[B]FP,K
BFP,K
[B],FP,K
B,FP,K
[B]F+P,K
BF+P,K
[B],F+P,K
B,F+P,K
[4]6K~P
46K~P
[4],6K~P
4,6K~P
[4]6+K~P
46+K~P
[4],6+K~P
4,6+K~P
[4]6K,P
46K,P
[4],6K,P
4,6K,P
[4]6+K,P
46+K,P
[4],6+K,P
4,6+K,P
[B]FK~P
BFK~P
[B],FK~P
B,FK~P
[B]F+K~P
BF+K~P
[B],F+K~P
B,F+K~P
[B]FK,P
BFK,P
[B],FK,P
B,FK,P
[B]F+K,P
BF+K,P
[B],F+K,P
B,F+K,P",N/A,-,-,0%,-,-,-,-,19,-,-,-,-,"- Pictured frame data is for earliest possible A-Train ebrake. For earliest possible Brass ebrake, just add 3f to the front. Both ebrakes have the same 19f of recovery, but A-Train ebrake can cancel 3f earlier. 
- Ends the ARMOR from A Train and Brass Knuckles instantly.",https://wiki.gbl.gg/images/d/d8/SG_big_ebrake.png,https://wiki.gbl.gg/images/9/93/SG_big_ebrake_train_fd.png
BIG BAND,L GIANT STEP,"MACRO_214LK
L STEP
STEP L",High,Sound Stun,650 (100),(2.5%) 4.5%,+14 OR -4 OR KD (vs air),-10,18,2,31,28,18,28 OR 10 (14 on block),-,- Slides the opponent closer to Big Band a little bit on hit.,https://wiki.gbl.gg/images/d/db/SG_big_qcbk_hb.png,https://wiki.gbl.gg/images/b/b2/SG_big_qcblk_fd.png
BIG BAND,M GIANT STEP,"MACRO_214MK
M STEP
STEP M",High,Sound Stun,800 (100),(2.5%) 4.5%,+17 OR -2 OR KD (vs air),-14,20,2,34,33,18,30 OR 11 (14 on block),-,- Opponent slides towards Big Band on hit from a very long distance.,https://wiki.gbl.gg/images/d/db/SG_big_qcbk_hb.png,https://wiki.gbl.gg/images/7/78/SG_big_qcbmk_fd.png
BIG BAND,H GIANT STEP,"MACRO_214HK
MACRO_214K
H STEP
STEP H
STEP
GIANT STEP",High,Sound Stun,950 (100),(2.5%) 4.5%,KD,-22,22,4,35,20 OR 2 (Shockwave),18,30 OR 12 (10 on block),-,"- Knocks the opponent down and closer towards Big Band if the kick pedal HITS, otherwise creates a fullscreen unblockable '""earthquake"" effect that causes an identical knockdown.
- The earthquake deals no damage and cannot hit an opponent during a jump, pre-jump frames, hit stun, or block stun. It's a projectile that only hits if you're ""standing"". Even things that look standing but are truly considered airborne or not standing will be ignored. There's also a special exception where Cerebella can't reflect it.",https://wiki.gbl.gg/images/d/db/SG_big_qcbk_hb.png,https://wiki.gbl.gg/images/e/e0/SG_big_qcbhk_fd.png
BIG BAND,L CYMBAL CLASH,"MACRO_J214LK
L CYMBALS
CYMBALS L
L CYMBAL
CYMBAL L
L CLASH
CLASH L
CLAPPY",Mid,Sound Stun,700 (100),(2.5%) 7.5%,"KD (Sound Stun),
 Soft KD (Invuln.)",-4,20,2,24,18,21,40 (10 on block),1,- Single hit version.,https://wiki.gbl.gg/images/6/64/SG_big_jqcbk_hb.png,https://wiki.gbl.gg/images/f/f0/SG_big_jqcblk_fd.png
BIG BAND,M CYMBAL CLASH,"MACRO_J214MK
M CYMBALS
CYMBALS M
M CYMBAL
CYMBAL M
CLASH M
M CLASH",Mid,Sound Stun,"400, 500 (100, 100)",(2.5%) 4.5% x2,"KD (Sound Stun),
 Soft KD (Invuln.)",-1,22,2 x2,25,"18, 19","21, 22","5, 40 (5, 10 on block)",0,- Two hit version.,https://wiki.gbl.gg/images/6/64/SG_big_jqcbk_hb.png,https://wiki.gbl.gg/images/9/9c/SG_big_jqcbmk_fd.png
BIG BAND,H CYMBAL CLASH,"MACRO_J214HK
MACRO_J214K
H CYMBALS
CYMBALS H
CYMBALS
H CYMBAL
CYMBAL H
CYMBAL
CLASH H
H CLASH
CYMBAL CLASH",Mid,Sound Stun,"350, 400, 450 (100, 100, 100)",(2.5%) 3% x3,"KD (Sound Stun),
 Soft KD (Invuln.)",-1,24,2 x3,28,"18 x2, 19","21 x2, 22","5 x2, 42 (5 x2, 10 on block)",-3,- Three hit version.,https://wiki.gbl.gg/images/6/64/SG_big_jqcbk_hb.png,https://wiki.gbl.gg/images/4/47/SG_big_jqcbhk_fd.png
BIG BAND,NOISE CANCEL,"6
2
F
D
PARRY
DOWN PARRY
NOISE
LOW PARRY
HIGH PARRY
MID PARRY",-,-,-,-,-,-,-,-,-,-,-,-,-,"- Throws and hitgrabs can never be parried.
- Take 75% of the incoming attack's BLOCK damage, as full red life damage. Cannot die from parry damage.
- Assists can be parried with high or low parry, regardless of the assist move's hit properties like high or low.",https://wiki.gbl.gg/images/e/e9/SG_big_parry.png,-
BIG BAND,SUPER SONIC JAZZ,"SSJ
MACRO_236PP
HORN CRUSH
HORNCRUSH",Mid,"Armor (1 hit),
 Invuln. (Throw) (Frames 1-2),
 Invuln. (Full) (Frame 3 until active)","600 x3, 2300 (100 x3, 300)",-100%,KD,-27,2 + 6,"7, 5, 6, 4",47,"35 x3, 20",23 x4,"(7), 8 x3, 13",-42/-24,"- Fastest move in the game at 2F start up.
- If Big Band has TAUNTED earlier, this move has 15 hits of ARMOR. 
- You can hold P to stop the follow up from occuring which gets the benefit of a 15 hit ARMORED version of SSJ, without consuming the taunt.",https://wiki.gbl.gg/images/0/0a/SG_big_qcfpp_hb.png,https://wiki.gbl.gg/images/d/d7/SG_big_qcfpp_fd.png
BIG BAND,TAUNTED SUPER SONIC JAZZ,"SSJ TAUNTED
TAUNT SSJ
SSJ TAUNT
236PP TAUNTED
236+PP TAUNTED
QCF+PP TAUNTED
QCFPP TAUNTED
TAUNTED HORN CRUSH 
TAUNTED SSJ
TAUNTED 236PP
TAUNTED 236+PP
TAUNTED QCF+PP
TAUNTED QCFPP
TAUNTED HORN CRUSH
SUPER SONIC JAZZ TAUNTED",Mid,"Armor (15 hits),
 Invuln. (Throw) (Frames 1-2),
 Invuln. (Full) (Frame 3, startup only)","600 x4, 475 x12, 1600 (100 x3, 33x12, 200)",-100%,KD,-33,2 + 6,"7, 5, 6, 4, (11), 4 x11, 4, (24), 5",52,"35 x16, 25","23 x3, 20 x21, 23","(7), 8 x4, 5 x12, 28 (8 x3, 8 x4, 5 x12, 28 on block)",-30,- Follow up used after the taunt boosted version of SSJ is used. Hold P to prevent this follow up and not consume your charge.,https://wiki.gbl.gg/images/b/ba/SG_big_qcfpp_charge_hb.png,https://wiki.gbl.gg/images/a/a2/SG_big_qcfpp_charge_fd.png
BIG BAND,TYMPANY DRIVE,"TIMPANI
TYMPANY
TIMPANY
TYMPANI
MACRO_J236KK
TIMPANI DRIVE
TYMPANI DRIVE
TIMPANY DRIVE",Mid,Invuln. (Full) (startup only),"275 x15, 1200 (50 x16)",-100%,KD,-10,8 + 7,"8 x2, 4, (4), 8 x4, 4, (4), 8 x4, 4, (4), 8 x2, 4",30,"27 x15, 35","30 x15, 23","(8), 2 x15, 8 (6 x15, 8 on block)",-9,"- If any hit is blocked, Big Band cannot block or perform any action on the way down. Otherwise, he can act after.
- Unlike many air supers, this super DOES have hitstop covering the first active frame, preventing post flash reversals from the opponent.",https://wiki.gbl.gg/images/2/2c/SG_big_jqcfkk_hb.png,https://wiki.gbl.gg/images/4/46/SG_big_jqcfkk_fd.png
BIG BAND,TAUNTED TYMPANY DRIVE,"TAUNTED TIMPANI
TAUNTED TYMPANY
TAUNTED TIMPANY
TAUNTED TYMPANI
TAUNTED J236KK
TAUNTED J.236KK
TAUNTED JQCFKK
TAUNTED J236+KK
TAUNTED J.236+KK
TAUNTED JQCF+KK
TAUNT TIMPANI
TAUNT TYMPANY
TAUNT TIMPANY
TAUNT TYMPANI
TAUNT J236KK
TAUNT J.236KK
TAUNT JQCFKK
TAUNT J236+KK
TAUNT J.236+KK
TAUNT JQCF+KK
TYMPANI TAUNT
TYMPANY TAUNT
TIMPANI TAUNT
TYMPANY TAUNTED
TIMPANI TAUNTED
TYPANI TAUNTED
TYMPANY DRIVE TAUNT
TIMPANI DRIVE TAUNT
TYMPANY DRIVE TAUNTED
TIMPANI DRIVE TAUNTED
TYPANI DRIVE TAUNTED
DEATH TOLL",Mid,"Invuln. (Full) (startup only),
No Scaling (last two hits),
 Hit Grab (last hit),
 Sound Stun","275 x15, 0, 250, 1400, 0 (50 x 16)",-100%,"KD (Sound Stun),
 Soft KD (Invuln.)",-10,8 + 7,"8 x2, 4, (4), 8 x4, 4, (4), 8 x4, 4, (4), 8 x2, 4",30,"27 x15, N/A","30 x15, 23","(8), 2 x15, N/A (6 x15, 8 on block)",-1,"- Follow up used after taunt boosted version of Tympany Drive is used. Hold K to prevent this follow up and not consume your charge.
- With SOUND STUN, Big Band lands first and can continue the combo on the falling opponent.",https://wiki.gbl.gg/images/2/2c/SG_big_jqcfkk_hb.png,https://wiki.gbl.gg/images/f/f4/SG_big_jqcfkk_charge_fd.png
BIG BAND,STRIKE UP THE BAND,"SUTB
MACRO_214PP",Mid,"Invuln. (Full),
45% Min. Scaling,
 Projectile","550 x7, 110 x84 (100 x7, 33x84)",-300%,KD,-76,4 + 3,"5, (1), 5, (1), 5, (1), 5, (1), 5, (1), 5, (1), 5",87,"35 x6, 20 x85","19 x6, 23, (23 x84)","(7), 2 x6, 20 (2 x6, 10, 8 x84 on block)",-77,"- Creates a wave of podiums on the ground, which knock the opponent into the air to be blasted by trumpet mute missles.
- The bulk of the damage is in the missiles, so using this mid screen and away from the corner allows more trumpet missiles to spawn, which do more damage.
- The larger the opponents hurt box, the more missiles hit, dealing more damage.
- Frame data shown is for WHIFF or BLOCK, not on hit.",https://wiki.gbl.gg/images/d/d5/SG_big_qcbpp_hb.png,https://wiki.gbl.gg/images/a/ad/SG_big_qcbpp_fd.png
BIG BAND,SATCHMO DEATH BLOW,"DEATH BLOW
JOJO
LVL5
LVL 5
LV5
LV 5
LEVEL 5
LEVEL5
SATCHMO
TIME STOP
SATCHMO SOLO
TUBA TUBA
SOLO
DEATHBLOW
SATCHMO DEATHBLOW",Mid,"Invuln. (Full),
 Hyper Armor,
 Sweep,
55% Min. Scaling","400 x20, 4500 (33x20, 200)",-500%,Wall Bounce,-21,1 OR 2 + 0,"4 x20, (24), 5",6 OR 50,"35 x20, 25",23 x21,"(1) 2 x20, 30",-18,"- Fastest button combination that still allows you to enter Satchmo Solo is 5LP 2LK 2LP 2MP.
- An orange ""!!"" will appear above Big Band's head if the opponent is blocking during the super flash. Ending the move without the follow up to stay safe is recommended when that happens.
- Final hit only wallbounces assists if one of the punches successfully hits the point.",https://wiki.gbl.gg/images/b/ba/SG_big_qcfpp_charge_hb.png,https://wiki.gbl.gg/images/a/af/SG_big_lvl5_fd.png
BIG BAND,"TAUNT (6, HP, MP, LP, 6)","BAGPIPE
BAG PIPE
BAGPIPE BLUES
TAUNT
6 HP MP LP 6
F HP MP LP F",-,-,-,-,-,-,-,-,110,-,-,-,-,"- Successfully taunting will trigger a visual effect over Big Band similar to the Sound Stun hit effect, signaling his next Super-Sonic Jazz or Tympany Drive super will use the stored taunt. The upgraded versions of these supers have a follow up attack and additional damage. 
- Holding the respective button while inputting the super will not consume the charge.
- A charged super cannot be done in the same combo Big Band gains a taunt boost.
- Hold a button to continue playing the bag pipes - has no effect.",https://wiki.gbl.gg/images/5/5c/SG_big_taunt.png,-
BIG BAND,ASSIST RECOVERY,"ASSIST
ASSIST TAUNT",-,-,-,-,-,-,-,-,58,-,-,-,-,"- Amount of time it takes for the character to turn invulnerable after they finish performing their assist action.
- Longer recovery → more time to punish the assist.
- Crouching assist actions must uncrouch before performing assist taunt, so they take even longer.",https://wiki.gbl.gg/images/4/49/SG_big_assist.png,-
BLACK DAHLIA,5LP,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,5MP,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,5HP,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,5LK,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,5MK,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,5HK,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,2LP,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,2MP,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,2HP,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,2LK,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,2MK,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,2HK,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,JLP,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,JMP,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,JHP,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,JLK,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,JMK,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,JHK,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,THROW,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,AIR THROW,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,TAG IN,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,SNAPBACK,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,SPECIAL ATTACK 1,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,SPECIAL ATTACK 2,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,SPECIAL ATTACK 3,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
BLACK DAHLIA,SPECIAL ATTACK 4,,-,-,-,-,-,-,-,-,-,-,-,-,-,"- Black Dahlia's frame data will not be supported until after her full release, sorry!",https://wiki.gbl.gg/images/6/67/SG_dhl_select.jpg,-
